2025-07-15 | Aloe Blacc | https://www.ronniescotts.co.uk/performances/view/XYZ123 | Soho | Ronnie Scott’s Jazz Club | 220 | 18:45 | 19:30 | 22:00 | Soulful singer Aloe Blacc performs an intimate jazz club set. | Available | N/A | 20:00 | 21:30 | N/A
2025-09-28 | An Evening with Damiano David | https://www.roundhouse.org.uk/whats-on/2025/an-evening-with-damiano-david/ | Camden | Roundhouse | 3300 | 19:00 | 19:30 | 23:00 | Måneskin’s frontman steps into the solo spotlight. | Sold Out | N/A | 20:00 | 22:30 | N/A
2025-10-03 | The Doors Alive (Doors Tribute) | https://www.ticketmaster.co.uk/the-doors-alive-london-03-10-2025/event/1F006ABCDEF12345 | Islington | O2 Academy Islington | 800 | 19:00 | 20:00 | 22:30 | Tribute band recreates the psychedelic rock of The Doors. | Available | N/A | 20:30 | 22:00 | N/A
2025-10-10 | Self Esteem | https://www.ticketmaster.co.uk/self-esteem-london-10-10-2025/event/37005EDCBA765432 | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Critically acclaimed pop artist brings her empowering anthems. | Sold Out | N/A | 20:30 | 22:45 | N/A
2025-10-21 | Coheed and Cambria: Welcome to Forever Tour | https://www.livenation.co.uk/show/1412345/coheed-and-cambria-welcome-to-forever-tour/london/2025-10-21/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Prog-rock storytellers unleash an epic sci-fi concept set. | Available | N/A | 20:30 | 22:45 | N/A
2025-10-22 | Igorrr | https://www.seetickets.com/event/igorrr/o2-shepherds-bush-empire/3345678 | Shepherds Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 23:00 | Avant-garde French metal meets breakcore in a mind-bending show. | Available | N/A | 21:00 | 22:30 | N/A
2025-10-24 | Claptone – The Masquerade | https://www.livenation.co.uk/show/1412349/claptone-the-masquerade/london/2025-10-24/en | Brixton | O2 Academy Brixton | 5000 | 21:00 | 22:00 | 02:00 | Mysterious DJ Claptone hosts an immersive masquerade dance party. | Available | N/A | 23:30 | 01:30 | Club night (18+)
2025-10-31 | The Stranglers + Buzzcocks | https://www.seetickets.com/event/the-stranglers-buzzcocks/roundhouse/3356789 | Camden | Roundhouse | 3300 | 19:00 | 19:30 | 23:00 | Two punk legends unite to deliver an unforgettable night of hits. | Available | Buzzcocks | 21:00 | 22:45 | N/A
2025-10-31 | Gogol Bordello | https://www.seetickets.com/event/gogol-bordello/electric-ballroom/3367890 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Wild gypsy-punk extravaganza to celebrate Halloween. | Available | N/A | 21:00 | 22:30 | N/A
2025-11-01 | Monolink (Live) | https://www.livenation.co.uk/show/1412352/monolink-live/london/2025-11-01/en | Brixton | O2 Academy Brixton | 5000 | 21:00 | 22:00 | 02:00 | Electronic songwriter blends live vocals and guitar with deep beats. | Available | N/A | 23:30 | 01:30 | N/A
2025-11-02 | Adam Ant | https://www.seetickets.com/event/adam-ant/roundhouse/3378901 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | 80s New Wave icon performs his classics and fan favorites. | Available | N/A | 21:00 | 22:30 | N/A
2025-11-02 | Loyle Carner | https://www.livenation.co.uk/show/1412355/loyle-carner/london/2025-11-02/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Acclaimed UK hip-hop artist brings heartfelt lyricism to the stage. | Sold Out | N/A | 20:30 | 22:45 | N/A
2025-11-06 | Heaven 17 | https://www.seetickets.com/event/heaven-17/o2-shepherds-bush-empire/3389012 | Shepherds Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 23:00 | 80s synth-pop pioneers perform their hits like “Temptation.” | Available | N/A | 21:00 | 22:30 | N/A
2025-11-08 | Kae Tempest | https://www.livenation.co.uk/show/1412358/kae-tempest/london/2025-11-08/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Renowned poet-rapper delivers powerful spoken-word and musical storytelling. | Available | N/A | 20:30 | 22:30 | N/A
2025-11-09 | Malevolence | https://www.livenation.co.uk/show/1412360/malevolence-where-only-the-truth-is-spoken-tour/london/2025-11-09/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Sheffield metalcore heavyweights on their “Where Only The Truth Is Spoken” tour. | Available | N/A | 20:30 | 22:30 | N/A
2025-11-11 | Perfume Genius | https://www.seetickets.com/event/perfume-genius/roundhouse/3390123 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Indie art-pop auteur performs an emotive and theatrical set. | Available | N/A | 21:00 | 22:30 | N/A
2025-11-13 | Above & Beyond | https://www.livenation.co.uk/show/1412363/above-beyond/london/2025-11-13/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Celebrated trance trio present an uplifting Group Therapy live show. | Available | N/A | 21:00 | 23:00 | N/A
2025-11-15 | Turin Brakes | https://www.seetickets.com/event/turin-brakes/o2-academy-islington/3391234 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | London folk-rockers return with an evening of melodic indie tunes (w/ Tom Speight). | Available | Tom Speight | 21:00 | 22:30 | N/A
2025-11-18 | Joy Crookes | https://www.livenation.co.uk/show/1412366/joy-crookes-juniper-tour-2025/london/2025-11-18/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Soulful South London singer’s triumphant hometown show on her Juniper Tour. | Sold Out | N/A | 20:30 | 22:45 | N/A
2025-11-20 | Drowning Pool + Spineshank + (hed) p.e. | https://www.seetickets.com/event/drowning-pool-spineshank-hed-p-e-/o2-academy-islington/3392345 | Islington | O2 Academy Islington | 800 | 19:00 | 19:30 | 23:00 | Triple-threat nu-metal night with Drowning Pool, Spineshank, and (hed) p.e. | Available | (hed) p.e. | 20:30 | 22:45 | N/A
2025-11-21 | Cast (30 Years of ‘All Change’) | https://www.seetickets.com/event/cast-30-years-of-all-change-/o2-shepherds-bush-empire/3393456 | Shepherds Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 23:00 | Britpop band celebrates the 30th anniversary of their debut album “All Change.” | Available | N/A | 21:00 | 22:30 | N/A
2025-11-28 | Alessandra | https://www.seetickets.com/event/alessandra/o2-academy-islington/3394567 | Islington | O2 Academy Islington | 800 | 19:00 | 20:00 | 22:30 | Norwegian pop star and Eurovision finalist showcases her powerful vocals. | Available | N/A | 20:30 | 22:00 | N/A
2025-12-05 | Empathy Test | https://www.seetickets.com/event/empathy-test/o2-academy-islington/3395678 | Islington | O2 Academy Islington | 800 | 19:00 | 20:00 | 22:30 | London synthpop duo delivers emotive electronic anthems. | Available | N/A | 20:30 | 22:00 | N/A
2025-12-06 | The Undertones + The Frank & Walters | https://www.ticketmaster.co.uk/the-undertones-the-frank-walters-london-06-12-2025/event/1F006C89ABCDEF01 | Shepherds Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Irish punk/new-wave legends celebrate 45 years (special guests The Frank & Walters). | Available | The Frank & Walters | 20:30 | 22:00 | N/A
2025-12-10 | The Charlatans | https://www.seetickets.com/event/the-charlatans/roundhouse/3396789 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Iconic British rock band performs hits spanning their decades-long career. | Available | N/A | 21:00 | 22:30 | N/A
2025-12-11 | Inspiral Carpets | https://www.ticketmaster.co.uk/inspiral-carpets-london-11-12-2025/event/1F006D9ABCDE0124 | Shepherds Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Madchester veterans reunite to play baggy anthems and fan favorites. | Available | N/A | 21:00 | 22:15 | N/A
2025-12-20 | Clutch | https://www.seetickets.com/event/clutch/roundhouse/3397890 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | American rockers bring groove-laden hard rock to Camden. | Available | N/A | 21:00 | 22:30 | N/A
2026-01-30 | Skids + Richard Jobson | https://www.seetickets.com/event/skids/o2-academy-islington/3408901 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Scottish punk legends (“Into the Valley”) with frontman Richard Jobson back on stage. | Available | N/A | 21:00 | 22:30 | N/A
2026-01-31 | White Lies | https://dice.fm/event/white-lies-31st-jan-roundhouse-london-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Post-punk indie favorites perform a set of dark, soaring tracks. | Available | N/A | 21:00 | 22:30 | N/A
2026-02-12 | Durand Jones & The Indications | https://www.seetickets.com/event/durand-jones-the-indications/roundhouse/3419012 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Retro-soul band brings smooth harmonies and vintage vibes. | Available | N/A | 21:00 | 22:30 | N/A
2026-02-20 | Fozzy + Tailgunner + Marisa and the Moths | https://www.seetickets.com/event/fozzy/electric-ballroom/3420123 | Camden | Electric Ballroom | 1500 | 19:00 | 19:30 | 23:00 | Wrestling star Chris Jericho’s heavy metal band rocks the stage (with support acts). | Available | Tailgunner | 20:30 | 22:30 | N/A
2026-03-19 | Kate Nash | https://dice.fm/event/kate-nash-19th-mar-roundhouse-london-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Beloved singer-songwriter performs infectious indie-pop hits and new material. | Available | N/A | 21:00 | 22:30 | N/A
2026-04-17 | Half Man Half Biscuit | https://www.seetickets.com/event/half-man-half-biscuit/electric-ballroom/3431234 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Cult indie band delivers sardonic, witty rock tunes to devoted fans. | Available | N/A | 21:00 | 22:30 | N/A
2026-06-11 | Ye Vagabonds | https://dice.fm/event/ye-vagabonds-11th-jun-roundhouse-london-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Acclaimed Irish folk duo weaves rich harmonies and storytelling songs. | Available | N/A | 21:00 | 22:30 | N/A
2026-06-13 | Indiepalooza (Indie Tribute Festival) | https://www.seetickets.com/event/indiepalooza/electric-ballroom/3442345 | Camden | Electric Ballroom | 1500 | 18:00 | 18:30 | 23:00 | Tribute acts celebrate indie rock icons (Killers, Oasis, Arctic Monkeys, etc). | Available | The Kopycat Killers | 20:00 | 22:30 | Multiple tribute bands lineup
